Comment,Designator,Footprint,LCSC
ProMicro,U1,ProMicro_v3,
MX-NoLED,MX2,MXOnly-1U-NoLED,
MX-NoLED,MX4,MXOnly-1U-NoLED,
MX-NoLED,MX5,MXOnly-1U-NoLED,
MX-NoLED,MX3,MXOnly-1U-NoLED,
MX-NoLED,MX7,MXOnly-1U-NoLED,
MX-NoLED,MX1,MXOnly-1U-NoLED,
MX-NoLED,MX6,MXOnly-1U-NoLED,
MX-NoLED,MX8,MXOnly-1U-NoLED,
MX-NoLED,MX9,MXOnly-1U-NoLED,
OLED,J1,OLED_v2,
SW_Push,SW1,SW_SPST_TL3342,
D_Small,D5,D_SOD-123-Pretty,
D_Small,D7,D_SOD-123-Pretty,
D_Small,D4,D_SOD-123-Pretty,
10k,R1,R_0805_2012Metric,
D_Small,D9,D_SOD-123-Pretty,
D_Small,D1,D_SOD-123-Pretty,
D_Small,D6,D_SOD-123-Pretty,
D_Small,D2,D_SOD-123-Pretty,
D_Small,D8,D_SOD-123-Pretty,
D_Small,D3,D_SOD-123-Pretty,
