Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
MX1,MX-NoLED,MXOnly-1U-NoLED,135.999524,-47.625,0.0,top
MX2,MX-NoLED,MXOnly-1U-NoLED,135.999524,-66.675,0.0,top
MX3,MX-NoLED,MXOnly-1U-NoLED,135.999524,-85.725,0.0,top
MX4,MX-NoLED,MXOnly-1U-NoLED,155.049524,-47.625,0.0,top
MX5,MX-NoLED,MXOnly-1U-NoLED,155.049524,-66.675,0.0,top
MX6,MX-NoLED,MXOnly-1U-NoLED,155.049524,-85.725,0.0,top
MX7,MX-NoLED,MXOnly-1U-NoLED,174.099524,-47.625,0.0,top
MX8,MX-NoLED,MXOnly-1U-NoLED,174.099524,-66.675,0.0,top
MX9,MX-NoLED,MXOnly-1U-NoLED,174.099524,-85.725,0.0,top
U1,ProMicro,ProMicro_v3,117.425774,-58.75625,0.0,top
